#time   lat    lon   gyro  spd_log
11/12/21/02:23:06.300    40.3640   -70.7760   115.8000      0.25
11/12/21/02:24:06.300    40.3640   -70.7760   115.2800      0.55
11/12/21/02:25:06.300    40.3640   -70.7760   114.9900      0.77
11/12/21/02:26:06.301    40.3640   -70.7760   115.0100      0.75
11/12/21/02:27:06.301    40.3640   -70.7760   115.0900      0.53
11/12/21/02:28:06.301    40.3640   -70.7760   114.3600      0.57
11/12/21/02:29:06.301    40.3640   -70.7760   114.3600      0.54
11/12/21/02:30:06.301    40.3640   -70.7760   115.1500      0.67
11/12/21/02:31:06.301    40.3640   -70.7760   115.1900      0.69
11/12/21/02:32:06.301    40.3640   -70.7760   114.7900      0.70
11/12/21/02:33:06.301    40.3640   -70.7760   115.3900      0.64
11/12/21/02:34:06.301    40.3640   -70.7760   114.2700      0.98
11/12/21/02:35:06.301    40.3640   -70.7760   115.2100      0.55
11/12/21/02:36:06.301    40.3640   -70.7760   115.1600      0.58
11/12/21/02:37:06.301    40.3640   -70.7760   115.0100      0.70
11/12/21/02:38:06.301    40.3640   -70.7760   114.6700      0.50
11/12/21/02:39:06.301    40.3640   -70.7760   114.7500      0.74
11/12/21/02:40:06.301    40.3640   -70.7760   114.9900      0.66
11/12/21/02:41:06.301    40.3640   -70.7760   114.4800      0.67
11/12/21/02:42:06.302    40.3640   -70.7760   115.5100      0.77
11/12/21/02:43:06.302    40.3640   -70.7760   115.4700      0.72
11/12/21/02:44:06.302    40.3640   -70.7760   114.6600      0.60
11/12/21/02:45:06.302    40.3640   -70.7760   114.6100      0.52
11/12/21/02:46:06.302    40.3640   -70.7760   115.1900      0.59
11/12/21/02:47:06.302    40.3640   -70.7760   115.0300      0.61
11/12/21/02:48:06.302    40.3640   -70.7760   114.9000      0.67
11/12/21/02:49:06.302    40.3640   -70.7760   115.1500      0.58
11/12/21/02:50:06.302    40.3640   -70.7760   115.1400      0.51
11/12/21/02:51:06.302    40.3640   -70.7760   133.8400      1.21
11/12/21/02:52:06.302    40.3630   -70.7770   219.1200      2.52
11/12/21/02:53:06.302    40.3630   -70.7780   269.2400      3.99
11/12/21/02:54:06.302    40.3630   -70.7800   264.4000      6.17
11/12/21/02:55:06.302    40.3630   -70.7830   268.7300      7.97
11/12/21/02:56:06.302    40.3630   -70.7870   270.0400      9.92
11/12/21/02:57:06.302    40.3630   -70.7910   267.6000     10.56
11/12/21/02:58:06.303    40.3630   -70.7950   268.4400     10.79
